review_layer,source_county,parcel_id,review_outcome,review_basis,linked_parcel_id
full_parcel,Williamson,R681491,replace_with_certified_property,Legacy zero-value parcel geometry shares its situs with the active certified residential property,WILLIAMSON:R076890
unit_parcel,Travis,1003667,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,153078,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,197004,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,200165,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,200173,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,200175,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,200185,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,208396,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,208398,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,287445,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,327651,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,367065,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,429806,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,439624,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,508995,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,508996,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,847189,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
unit_parcel,Travis,984823,retain_zero_tcad_land_only,TCAD profile reports landOnly=1 with zero improvement units and area; multifamily signal comes from zoning only,
